WORD	CLUSTER_ID	WORD_COUNT
华侨城	0	1163
广场	0	1105
景区	0	749
公园	0	542
花园	0	492
天地	0	371
绿地	0	295
度假	0	274
小镇	0	264
乐园	0	236
都市	0	232
太阳	0	235
高原	0	220
四季	0	219
碧云	0	196
走廊	0	188
碧云国际社区	0	167
岭南	0	155
草原	0	146
风景	0	147
景点	0	132
太湖	0	135
环境优美	0	130
花卉	0	125
展厅	0	126
江河	0	120
城市生活	0	120
国际社区	0	117
生态园	0	114
青山	0	112
生态旅游	0	109
地带	0	104
方舟	0	100
山水	0	99
展馆	0	99
苗圃	0	95
风情	0	94
沙漠	0	91
明珠	0	97
山地	0	91
街区	0	89
海滩	0	85
营地	0	83
港湾	0	82
长廊	0	81
温泉	0	80
观光	0	80
所在城市	0	77
绿洲	0	76
红树林	0	76
森林公园	0	75
旅游区	0	74
住区	0	73
古城	0	70
亚迪	0	70
商业街	0	68
荒山	0	67
大树	0	66
海岛	0	66
美景	0	64
市容	0	64
湿地公园	0	63
生态景观	0	62
生活馆	0	60
展示中心	0	61
国际学校	0	58
作坊	0	57
古镇	0	55
天台	0	55
庭院	0	53
水景	0	53
建设新	0	52
运河	0	54
新江湾城	0	52
青山绿水	0	51
展区	0	50
山林	0	50
低密度	0	50
雕塑	0	49
景象	0	50
风景区	0	48
山顶	0	47
高山	0	47
生态园林	0	45
海南岛	0	45
大片	0	46
建筑群	0	44
之城	0	44
四合院	0	44
雪山	0	43
外籍人士	0	43
五世	0	43
街市	0	42
文脉	0	41
山海	0	41
珍品	0	40
居民小区	0	39
建筑风格	0	39
瑞木	0	39
花木	0	38
院落	0	38
售楼处	0	38
热带	0	37
民居	0	37
植物园	0	36
商业区	0	35
田园	0	35
宝岛	0	35
农庄	0	34
亲水	0	33
自然景观	0	34
大峡谷	0	33
通透	0	34
药谷	0	33
铜锣湾	0	33
新城市	0	32
主题乐园	0	32
西藏旅游股份有限公司	0	32
天堂	0	31
动物园	0	31
观光旅游	0	30
最适宜	0	29
地被	0	29
教堂	0	29
北方地区	0	29
民俗文化	0	28
招牌	0	29
苏州乐园	0	28
人工湖	0	27
商住	0	27
长白山	0	27
农耕	0	27
人文景观	0	26
绿树	0	27
新名片	0	26
岛屿	0	25
观赏性	0	25
园林设计	0	25
中国民俗	0	24
会馆	0	24
垃圾处置	0	25
城市核心	0	23
橡树	0	23
中心广场	0	23
神山	0	23
轴线	0	22
旅游节	0	22
绿茵	0	22
画廊	0	22
文化园	0	22
人民大众	0	21
好去处	0	21
宴会厅	0	21
客厅	0	21
玛雅	0	20
旅游观光	0	21
绿意	0	20
老城	0	20
南园	0	20
雅鲁藏布	0	20
精粹	0	19
喷泉	0	19
红枫	0	19
天都城	0	19
景色	0	18
旅游景点	0	18
海岸线	0	18
蝴蝶	0	18
屋顶花园	0	18
美式	0	18
风景秀丽	0	17
哈市	0	17
迎宾	0	17
喜马拉雅	0	17
小高层	0	17
碧云路	0	17
小桥流水	0	16
张家界	0	16
绿意盎然	0	16
山河	0	16
